id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price
23023406,Unbeatable Location- 2BD Apt in the Heart of CBD,170135432,Ken,Melbourne,-37.81004211421943,144.9648549199897,Entire home/apt,60
23023451,Studio Apartment in Melbourne with Netflix,118895023,Navneet,Melbourne,-37.81747752531489,144.96446561843175,Entire home/apt,65
23024729,"Spacious room near CBD, Lygon and Universities.",168799024,Emma,Melbourne,-37.792740321769045,144.9688527513097,Private room,55
23025494,"Serenity 3BR Spacious BOX HILL Home, WiFi, Parking",104431444,James@ Roomerang,Whitehorse,-37.84388477673717,145.12946788011126,Entire home/apt,188
23025617,Relax with your own space,50787287,Susan,Manningham,-37.77739485198903,145.18112723500386,Private room,69
23025667,nice and cheap,170848201,Shir,Port Phillip,-37.86439421062905,145.00701410417372,Entire home/apt,100
23026617,2 BR Modern Apartment Melbourne CBD!,170860313,Isabella & James,Melbourne,-37.809363980542535,144.95996981631959,Entire home/apt,115
23027437,墨尔本东区burwood,170870085,Xuan,Whitehorse,-37.847875031273205,145.11081041298988,Private room,66
23028759,Modern APT  Harbour View  Wifi Pool Gym Free Tram,170880128,Aiden,Melbourne,-37.81975762674134,144.943122017712,Entire home/apt,123
23029300,boxhill 中心位置,170885160,Qin,Whitehorse,-37.821297787111604,145.1256089827766,Private room,132
23029507,Priv Bathrm & Rm. Close to attractions CBD Airport,12278309,Laura,Darebin,-37.73457271821544,145.00750640291758,Private room,64
23029867,Box Hill North 两房出租,170889603,Qian Ying,Whitehorse,-37.80458076052433,145.1221971218516,Private room,133
23030663,Private bedroom in Caulfield - Close to Monash Uni,15495038,Bevan,Glen Eira,-37.87916428338225,145.03471208091202,Private room,65
23031957,"Relaxing, light-filled spot in a perfect location",8059936,Di,Yarra,-37.77745836051848,144.98769144255976,Entire home/apt,118
23033170,Spacious suite in Southbank with good view,122504221,Victor,Melbourne,-37.82515436327456,144.96265219565197,Private room,80
23033825,Garage Wonderland in Clayton,100350900,Darius,Monash,-37.914669020990445,145.1225257600522,Private room,60
23041477,Nice and comfortable bedroom in Melbourne  CBD,87188339,Ashlee,Melbourne,-37.81013110787181,144.96199283442587,Private room,80
23042592,White Gates Cottage,21120844,Peta,Yarra Ranges,-37.83068454616291,145.3680177669731,Entire home/apt,295
23042776,Epicentre of Melbourne 2 Bed + 1 Bath,55896619,Deepak,Melbourne,-37.81004308768363,144.9652004315264,Entire home/apt,199
23042919,Kaivalya Mount Dandenong,21120844,Peta,Yarra Ranges,-37.8329874444391,145.358753985457,Entire home/apt,500
23042994,Paramount 3BR (A),113625484,Kris,Melbourne,-37.812224338128424,144.9689576262765,Entire home/apt,530
23043282,Share Rooms in mins walk from Box Hill Central,163778118,Ben,Whitehorse,-37.818257479948024,145.13073886818904,Shared room,30
23043372,"Dine on Hip Acland Street at a Minimal, Light-filled Oasis",138496237,Blake,Port Phillip,-37.871769625602866,144.98352114603395,Entire home/apt,145
23043415,"Melbourne Center 2B/2Bth City View,  FREE PARKING",101892422,Ignatius,Melbourne,-37.81258063218333,144.961507704858,Entire home/apt,188
23043527,Shareroom in Box Hill Central,163778118,Ben,Whitehorse,-37.818417701481486,145.1318537065377,Shared room,30
23043747,Private room 15 min away from CBD,43280687,Marko,Maribyrnong,-37.7972015463355,144.8625795569809,Private room,30
23043816,Flinders Prime 1 Bedroom Apartment,113625484,Kris,Melbourne,-37.81553165189107,144.96497052235088,Entire home/apt,180
23044724,The Skipping Girl House - Heart of Richmond,33191292,Steve,Yarra,-37.819774129396656,145.00284911472394,Entire home/apt,310
23044798,Opposite southern cross  good room to rent,37411457,Xxx,Melbourne,-37.815893769823454,144.9543810123167,Private room,75
23045034,Hudson 1BR Suite@Upper House *Gym/Rooftop Terrace*,36605625,Shy & Chris,Melbourne,-37.805574648694815,144.96284260891744,Entire home/apt,109
23045952,"Panoramic views in Stylish Southbank, Melbourne",167109710,Priji,Melbourne,-37.82538093540167,144.96263028218738,Entire home/apt,100
23046270,Comfort Zone in Melbourne City 7,29913000,Ming Yu,Melbourne,-37.80769940589529,144.96753063701075,Entire home/apt,150
23047407,Living by the Clouds - 1BR Apt @ Lighthouse #3,108813610,HugoHome,Melbourne,-37.80739052431536,144.95977096444173,Entire home/apt,120
23048296,Elizabeth 1 Bedroom Apartment (A),113625484,Kris,Melbourne,-37.815449401483136,144.96361476566844,Entire home/apt,210
23048561,Elizabeth 1BR (E),113625484,Kris,Melbourne,-37.816222214193175,144.96418526169506,Entire home/apt,210
23048730,"Royal Stays ""City Views"" 2Bdr/2Bath (LS807)",4170460,Royal Stays,Melbourne,-37.81523297789769,144.94823566199955,Entire home/apt,132
23048751,Collins 1 Bedrrom Apartment,113625484,Kris,Melbourne,-37.81496747517779,144.9635861454258,Entire home/apt,210
23048911,Royal Stays 1 Bdr Apt - City Views (LS304),4170460,Royal Stays,Melbourne,-37.81599052682631,144.94796652551565,Entire home/apt,100
23049032,Tinyhome treehouse,171069211,Mathew,Port Phillip,-37.86204362488274,145.00949004934822,Entire home/apt,97
23049117,St Kilda/Balaclava 2 Bedroom. Free Parking,171070064,Renata,Glen Eira,-37.871894342283376,145.00682783219327,Entire home/apt,130
23049136,Van Gogh's Retreat #1 / 1BR-1BA-CBD Centre,85063271,Alice,Melbourne,-37.80934388806537,144.96118113843445,Entire home/apt,112
23049576,Sweet 2BR Apartment Perched High with Style ~,101024990,Relaine,Whitehorse,-37.81838826801959,145.11848756920523,Entire home/apt,180
23050249,Docklands Charming Home 2-Bedroom+WiFi +Free Tram,81368168,Eric,Melbourne,-37.820153361390226,144.94446308308375,Entire home/apt,180
23050346,Cozy apartment in Melbourne City Center,161250322,Sara,Melbourne,-37.81563602504018,144.95392643594127,Entire home/apt,143
23050427,The Relaxing Travellers @ Melbourne,110139064,Danny,Melbourne,-37.8099975104682,144.95041785881597,Entire home/apt,400
23052860,The Element 2 bd apt in CBD- gym pool spa tram,35789055,Eden+Cony,Melbourne,-37.81415664909517,144.95376882761312,Entire home/apt,155
23055657,Lakeside Room8 fast NBN WiFi,74090259,Maryse &,Casey,-38.09860560572562,145.24846883141527,Private room,75
23061273,"温馨舒适便利的度假屋,五室六床二卫｡",171183802,Lisa,Whitehorse,-37.852553203737685,145.14089025674267,Entire home/apt,199
23061452,A cosy home,171187073,Huyen,Greater Dandenong,-37.96492105348254,145.1467852700289,Private room,50
23061971,Comfortable bedroom with broad city view in CBD,156159929,Nan,Melbourne,-37.80929706585314,144.96021917576067,Private room,53
23062787,东区clayton房间出租,171203230,Zi Jiang,Monash,-37.91439156873554,145.13112879621602,Private room,66
23063005,Nice and comfy Bedroom in the heart of Mel CBD,171196627,Ricky,Melbourne,-37.829833885055805,144.98108927151588,Shared room,46
23063940,LARGE upstairs private room for two people.,52192080,Innes,Stonnington,-37.84794452340504,145.00273336320882,Private room,42
23064088,Ville d'Soumah - Yarra Valley luxury cottage,171217741,Soumah,Yarra Ranges,-37.694306527280425,145.49002548568367,Entire home/apt,575
23064594,*Modern*Chic* Sea View CBD Apt @Southern Cross #1,108813610,HugoHome,Melbourne,-37.81453987183082,144.95397132026147,Entire home/apt,120
23065011,Beautiful apartment in heart of Collingwood,42530161,Scarlet,Yarra,-37.80588903714338,144.98461073116488,Entire home/apt,60
23065457,"Elegant, chic yet quiet inner city apt.",3555107,Dawn,Stonnington,-37.84354042663221,145.00571386269053,Entire home/apt,180
23066991,Elizabeth 2-Bedroom Apartment,113625484,Kris,Melbourne,-37.81426580011912,144.96449869549463,Entire home/apt,379
23068232,Stunning luxury apartment with sweeping views,36410227,Sabrina,Port Phillip,-37.85809759121388,144.98057941576002,Entire home/apt,145
23069274,Cosy farm stay Tiny Home near the Mount Dandenongs,62077033,Kathleen,Cardinia,-37.92819767999782,145.4086160906659,Entire home/apt,71
23075609,Private room in 2BR city apartment with GREAT view,26503025,Anna,Melbourne,-37.80985551730783,144.9650710775558,Private room,65
23076117,Spacious Apt in Fantastic Location- Secure Parking,148122287,Judy And Vince,Melbourne,-37.79926883509354,144.94289113510604,Entire home/apt,120
23077552,Relaxing Ridgetop Retreat,60452874,Nicole,Nillumbik,-37.654073107334256,145.34137461451536,Entire home/apt,220
23079019,Parkside Modern stunning APT & Free WiFi & Parking,129229057,Lama Yoga Homes,Port Phillip,-37.83754822376863,144.97361476403242,Entire home/apt,129
23080583,"CBD 2Bdr apartment next to RMIT,Melb U,QVM 人脸楼2房1卫",162893029,Ed,Melbourne,-37.80636389743061,144.9628911519466,Entire home/apt,127
23080670,Cosy Farmhouse in the City,53661902,Creina,Hobsons Bay,-37.84265908114303,144.88901663663003,Entire home/apt,100
23081355,"Richmond house, MCG a quick walk or tram ride.",104707846,Rachael,Yarra,-37.824767115342226,145.00089400035023,Private room,199
23082020,Southern Cross over 40 floor city view 2BD entire,171396569,Kiki,Melbourne,-37.816047650099286,144.9531269791083,Entire home/apt,119
23082255,A Cottage with a View at Tudor Ridge,171399212,David,Yarra Ranges,-37.90954799810391,145.4166860524934,Entire home/apt,251
23082609,Modern 2BR Apartment w Views Pool Gym Parking Wifi,52256648,May,Melbourne,-37.80678675394134,144.96338258437055,Entire home/apt,165
23082718,Convenient and affordable Hostel in Mitcham(2)VIC,86640011,Wanlin,Whitehorse,-37.817210148618074,145.20910375463203,Shared room,30
23082849,The Belong,50094176,Jayson,Manningham,-37.77946457789992,145.16115453669303,Private room,28
23082899,Queens Domain Luxury 2 Bed 2 Bath Apartment,159516681,Henry,Port Phillip,-37.838054062476886,144.97443444107512,Entire home/apt,199
23083642,Lemon Tree House Flemington,140653431,Emlyn,Moonee Valley,-37.78213124895708,144.93099387196935,Private room,55
23083832,"Private bedroom, Relaxed Share House",171413751,Massa,Maribyrnong,-37.77852837390076,144.87405978513382,Private room,50
23090401,Architect Designed Collingwood House,7311618,Jessica,Yarra,-37.79736829465785,144.9902115079922,Entire home/apt,251
23091396,SAMS HOUSE,171498476,Sam,Wyndham,-37.845972175412065,144.67083898975363,Private room,50
23091611,"Welcome to Cosy, quiet home",130879854,Ying,Whitehorse,-37.8462833235761,145.18980930846402,Private room,71
23092410,Modern 2BR Apt - Melbourne Uni/Vic Market Precinct,10237130,Catherine,Melbourne,-37.804650396520145,144.95574149552493,Entire home/apt,215
23092928,Monash university room,46811352,Sonny,Monash,-37.91788467521599,145.13388714610164,Private room,48
23093784,"Modern, cosy, and convenient apartment",128322517,Aufulin,Melbourne,-37.81413502356786,144.94062560305176,Entire home/apt,91
23094303,Cozy Albert Park Suite Next to Grand Prix Circuit,8530753,Jared SSP,Port Phillip,-37.850906185630336,144.97925433196525,Entire home/apt,109
23094577,The Parry,171530555,Mohamed,Brimbank,-37.791974774594316,144.79148423245167,Private room,50
23094793,Modern*Central of Melb* 2BR*2Bath*WiFi*Netflix*Gym,171390617,Aleck,Melbourne,-37.809969036472374,144.96089930820585,Entire home/apt,159
23095374,Cosy & Bright Private Room in Balaclava,30932869,Tania,Port Phillip,-37.87348560663588,144.99750196765802,Private room,60
23095539,Kew Designer Apartment,27934280,Anthony,Boroondara,-37.80964846443619,145.0598322219714,Entire home/apt,90
23095688,Dandenong North delight,171549808,Janeece,Greater Dandenong,-37.95361847936438,145.21915469865806,Private room,50
23096291,Two private rooms in Hawthorn,11801161,Emma,Boroondara,-37.838377340324186,145.0422421642437,Private room,55
23096515,Large professional Home,171559178,Mathew,Boroondara,-37.80426170016467,145.10216535631832,Entire home/apt,215
23096944,Our Piece of heaven,151001974,Jeanne,Casey,-38.005455781098775,145.2896061070526,Entire home/apt,71
23096960,Little Green and Clean Home,171554060,Raj,Wyndham,-37.83331034924029,144.6720063021204,Private room,50
23097380,"Ivy Resorts01, Central CBD/ Free Wifi/Sauna/Pool",68202976,Ivy,Melbourne,-37.8079533388932,144.96172343112406,Entire home/apt,159
23097757,New York Style Loft (2BR/Wifi/Carpark/Pool&Gym),55079554,Adrian,Yarra,-37.80916483397246,144.98524393466994,Entire home/apt,150
23097820,Hostel in the heart of Box HILL(GIRLS ONLY ROOM),86640011,Wanlin,Whitehorse,-37.82168398029998,145.12161161172904,Shared room,25
23098372,Small studio in city,55201202,Elissa,Melbourne,-37.81356955548042,144.95075650404863,Private room,136
23098435,City Edge Lower Plenty,171025986,Alex,Banyule,-37.72531035963592,145.1130644770505,Entire home/apt,180
23098448,Amazing City View 2BR+CAR PARK Pool+Gym+Free Tram,131230411,Phil &Jing,Melbourne,-37.82165736918012,144.94338731258853,Entire home/apt,155
23103606,A comfortable clean accommodation,7427579,Mercy,Whitehorse,-37.820005716616954,145.15318699147667,Private room,100
23107420,Luxurious House - Private Terrace and Amazing View,170840171,Karen,Yarra,-37.807787398529875,144.98997193466417,Entire home/apt,999
23107523,1 bedroom with private ensuite close to beach,50774942,Peter,Frankston,-38.10866736500448,145.15071009744352,Private room,65
23108701,Yarra Valley-Lakes-Yarra Glen Town-Wineries-Rm 2,137433499,Tracy,Yarra Ranges,-37.654658098238315,145.37780264227877,Private room,80
23108811,"NYC Style HUGE Designer Apartment
Wi-Fi & Parking",18601324,Matthew,Stonnington,-37.838745098377615,145.0129767403014,Entire home/apt,150
23109153,Melbourne's Only House,60323709,Sam,Melbourne,-37.807238839195264,144.95614775722885,Entire home/apt,181
23109908,1BR apartment HEART OF NORTHCOTE high street!,171708903,William,Darebin,-37.76993358633483,145.0004945882044,Entire home/apt,100
23110024,❤Melbourne Awesome Views bed + bathroom + parking❤,167298139,Shiralee,Melbourne,-37.8201722891393,144.96709038545632,Private room,100
23110836,Sweet one-bedroom apartment,14740200,Kseniya,Yarra,-37.816715571117655,144.99760844188745,Entire home/apt,100
23111415,墨尔本小家,171725423,学军,Monash,-37.90470007727362,145.1442400726561,Private room,50
23111603,5-7 mins walk to Monash university clayton campus,22708426,Hebe,Monash,-37.907338336144974,145.12346090874348,Private room,50
23112312,Cosy Carlton Apartment with Wi-Fi & Carpark,155075690,Marisa,Melbourne,-37.796870795839276,144.9721961276879,Entire home/apt,120
23112894,Spacious-2 bed apt-free parking-WiFi-city's edge,171697956,Kim,Moonee Valley,-37.784027199044196,144.93879106548277,Entire home/apt,116
23113358,1bdrm in spacious apartment,171742025,Sara,Port Phillip,-37.86703166228577,145.00755833011092,Private room,40
23113633,1 Room in Altona Meadows 20 Mins to Melbourne CBD,171744382,Sunil,Hobsons Bay,-37.87103102330504,144.7837736206748,Private room,24
23113774,Modern 2 bed apartment in CBD-Free Gym-indoor Pool,80621455,Bill Donghang,Melbourne,-37.81403571746111,144.95455749257425,Entire home/apt,134
23114308,180 view of Melbourne from South Yarra,2761952,Fatima,Stonnington,-37.835364252791464,144.99012568937766,Entire home/apt,100
23114570,Great house in superb location,26077321,Giselly,Glen Eira,-37.91047262386557,145.0330913065929,Private room,50
23115209,Gladly Inn 2802,147033309,LivingIt,Port Phillip,-37.83054548437091,144.95051248898181,Entire home/apt,161
23115370,豪华海景公寓 Luxury seaview apartment.,162703119,Oliver,Melbourne,-37.821228016700694,144.94064536851798,Shared room,71
23116590,"Living in Melbourne CBD, 2 bdrm Apartment",99997311,Lyn,Melbourne,-37.8077684570452,144.9617917189238,Entire home/apt,105
